Product,Volume_mm3,Feature_Count,Cycle_Time_min,Quoted_Cost,Material_Brass,Material_Copper,Material_Plastic,Material_Steel,Cost_per_mm3,Complexity_Index
Valve Body,129908.58,4,25.09,6499.86,False,False,False,False,0.050034108601602754,100.36
CNC Machined Block,102217.11,14,31.83,3096.9,False,False,True,False,0.03029727606268657,445.62
Flange Cover,32810.82,1,51.79,2949.3,True,False,False,False,0.08988803083860751,51.79
Custom Bracket,19879.62,1,9.83,993.77,False,False,False,False,0.049989386115026346,9.83
Mounting Base,99938.7,8,49.32,5004.65,False,False,False,False,0.05007719732195836,394.56
CNC Machined Block,13711.58,2,8.06,973.03,False,False,False,True,0.07096410479317482,16.12
Flange Cover,92008.58,12,51.33,6465.24,False,False,False,True,0.07026779459046102,615.96
Motor Housing,141632.23,8,7.84,4274.48,False,False,True,False,0.030180136258533805,62.72
Spindle Shaft,90566.38,7,6.0,8177.2,True,False,False,False,0.09028957544731278,42.0
Connector Plate,64343.79,10,43.33,4502.32,False,False,False,True,0.06997287539325861,433.29999999999995
Mounting Base,100060.35,10,59.85,5015.31,False,False,False,False,0.05012285085950629,598.5
Motor Housing,74155.4,2,54.31,6671.75,True,False,False,False,0.08996984710486358,108.62
Valve Body,86386.35,6,36.68,7812.49,True,False,False,False,0.09043662569375832,220.07999999999998
Motor Housing,141805.07,6,55.46,7103.74,False,False,False,False,0.05009510590841357,332.76
Spindle Shaft,64054.37,3,5.29,4497.93,False,False,False,True,0.07022050173938171,15.870000000000001
Valve Body,144566.68,11,58.63,7231.53,False,False,False,False,0.05002210744550543,644.9300000000001
Mounting Base,136749.09,2,31.99,12312.85,True,False,False,False,0.09003972165372362,63.98
Spindle Shaft,37410.76,12,44.76,3774.86,False,True,False,False,0.10090305569841404,537.12
Precision Gear,19710.58,1,50.15,1981.68,False,True,False,False,0.10053889839872798,50.15
Connector Plate,24108.92,6,44.52,741.5,False,False,True,False,0.030756251213243897,267.12
Mounting Base,12551.06,12,34.43,651.68,False,False,False,False,0.05192230775727309,413.15999999999997
Precision Gear,23222.01,5,31.21,1171.72,False,False,False,False,0.050457303222244766,156.05
Flange Cover,105620.95,14,51.12,3179.7,False,False,True,False,0.030104822954158242,715.68
Mounting Base,19966.41,14,16.28,617.99,False,False,True,False,0.03095148301572491,227.92000000000002
Flange Cover,54656.59,11,58.24,1664.01,False,False,True,False,0.030444819188317457,640.64
Valve Body,128282.54,9,44.1,11556.27,True,False,False,False,0.09008451189070625,396.90000000000003
Precision Gear,13258.07,1,15.97,671.79,False,False,False,False,0.05067027101229666,15.97
Connector Plate,124025.59,7,45.49,11180.97,True,False,False,False,0.0901505084555534,318.43
Spindle Shaft,49459.67,5,34.14,1507.46,False,False,True,False,0.03047856971144369,170.7
Adapter Ring,26543.08,5,43.9,1346.74,False,False,False,False,0.05073789477332698,219.5
Motor Housing,107543.2,14,47.23,9709.16,True,False,False,False,0.09028148688155085,661.2199999999999
CNC Machined Block,98052.0,2,9.8,8836.16,True,False,False,False,0.09011708073267245,19.6
Connector Plate,132846.08,11,32.84,4017.43,False,False,True,False,0.03024123858227507,361.24
Precision Gear,112909.95,3,56.26,5646.42,False,False,False,False,0.0500081702276903,168.78
Adapter Ring,122487.33,7,22.64,3685.33,False,False,True,False,0.030087438431387146,158.48000000000002
Connector Plate,49484.84,6,37.66,2485.27,False,False,False,False,0.05022285613129193,225.95999999999998
Precision Gear,34841.54,12,25.31,3503.4,False,True,False,False,0.10055238660518451,303.71999999999997
Custom Bracket,115086.07,2,29.98,8070.18,False,False,False,True,0.07012299577177325,59.96
Custom Bracket,122956.86,6,35.17,8612.71,False,False,False,True,0.0700466000839644,211.02
Flange Cover,148670.72,2,35.19,10423.47,False,False,False,True,0.07011111535613737,70.38
Connector Plate,67766.47,2,16.1,2033.32,False,False,True,False,0.03000480916299757,32.2
Custom Bracket,62082.53,2,42.65,6216.98,False,True,False,False,0.10014057094644821,85.3
Precision Gear,118697.81,14,9.83,5964.55,False,False,False,False,0.05024987402884687,137.62
Flange Cover,57712.5,11,12.64,5206.37,True,False,False,False,0.09021217240632445,139.04000000000002
Precision Gear,140306.03,3,5.15,7021.1,False,False,False,False,0.05004132751814017,15.450000000000001
Flange Cover,130177.79,2,11.42,11723.34,True,False,False,False,0.09005637597627061,22.84
Connector Plate,70059.16,4,31.02,3510.32,False,False,False,False,0.050105082618746785,124.08
Adapter Ring,115121.95,9,38.34,11516.77,False,True,False,False,0.10003974046652268,345.06000000000006
Spindle Shaft,115636.0,6,48.69,10436.25,True,False,False,False,0.0902508734304196,292.14
Mounting Base,24437.34,1,10.87,736.0,False,False,True,False,0.030117844249824246,10.87
Adapter Ring,136357.41,8,51.79,6825.93,False,False,False,False,0.050059105698766204,414.32
Valve Body,80735.33,12,46.03,4076.97,False,False,False,False,0.050497966627497524,552.36
Precision Gear,125704.05,14,27.47,11347.54,True,False,False,False,0.09027187270418098,384.58
Valve Body,54806.94,7,56.31,1646.21,False,False,True,False,0.03003652457152324,394.17
Adapter Ring,135373.25,10,59.5,4070.75,False,False,True,False,0.03007056416241761,595.0
Flange Cover,64488.24,3,16.28,6452.6,False,True,False,False,0.10005855331142548,48.84
Mounting Base,11517.27,1,25.86,350.49,False,False,True,False,0.030431690843402994,25.86
Mounting Base,136753.48,5,55.95,4118.83,False,False,True,False,0.030118648534574768,279.75
CNC Machined Block,22780.13,13,44.69,718.91,False,False,True,False,0.031558643431797796,580.97
Mounting Base,54703.91,4,7.65,3842.67,False,False,False,True,0.07024488743126404,30.6
Spindle Shaft,143008.68,10,47.98,14334.34,False,True,False,False,0.10023405572305122,479.79999999999995
Mounting Base,143085.0,8,50.54,7171.52,False,False,False,False,0.05012069748750743,404.32
Adapter Ring,90281.3,1,46.28,8119.72,True,False,False,False,0.0899380048803019,46.28
CNC Machined Block,98457.21,10,48.97,4942.83,False,False,False,False,0.05020282415071481,489.7
Adapter Ring,72782.37,1,50.38,7279.55,False,True,False,False,0.10001804008305859,50.38
Adapter Ring,51049.51,12,15.25,4592.67,True,False,False,False,0.08996501631455424,183.0
Motor Housing,56013.04,4,17.96,5603.69,False,True,False,False,0.1000425972237893,71.84
CNC Machined Block,104152.58,8,39.86,3143.72,False,False,True,False,0.03018379381480516,318.88
Adapter Ring,115332.43,5,54.93,10385.68,True,False,False,False,0.09004995385946521,274.65
Motor Housing,120821.07,2,22.39,3622.17,False,False,True,False,0.029979621931836887,44.78
Motor Housing,120546.54,6,37.36,6048.44,False,False,False,False,0.05017514397343963,224.16
CNC Machined Block,22768.85,5,42.56,1139.28,False,False,False,False,0.050036782709710854,212.8
Valve Body,79218.84,2,29.86,7140.81,True,False,False,False,0.09014029995894916,59.72
Flange Cover,18058.23,13,44.26,1637.91,True,False,False,False,0.09070158038744662,575.38
Spindle Shaft,86934.04,14,54.48,8749.01,False,True,False,False,0.1006396343710703,762.7199999999999
Flange Cover,71814.27,11,39.33,7201.27,False,True,False,False,0.10027630998685916,432.63
Mounting Base,134278.59,11,34.69,4047.13,False,False,True,False,0.030139801140300924,381.59
Spindle Shaft,59128.1,11,29.13,5354.96,True,False,False,False,0.09056539953084912,320.43
Mounting Base,26389.38,3,36.76,1321.28,False,False,False,False,0.05006862609125337,110.28
Adapter Ring,30018.84,9,24.54,3034.43,False,True,False,False,0.10108418579798553,220.85999999999999
Precision Gear,116611.49,7,26.53,11678.86,False,True,False,False,0.10015188040217993,185.71
CNC Machined Block,96550.53,7,34.25,4840.34,False,False,False,False,0.05013271289137408,239.75
Spindle Shaft,24157.17,11,8.66,2435.47,False,True,False,False,0.10081768683997339,95.26
Spindle Shaft,21774.95,6,17.6,677.32,False,False,True,False,0.031105467521165376,105.60000000000001
Adapter Ring,108135.68,8,34.86,9750.52,True,False,False,False,0.0901693132183568,278.88
Valve Body,20186.82,4,28.73,1021.66,False,False,False,False,0.05061024965794513,114.92
Motor Housing,125060.41,8,23.3,11276.85,True,False,False,False,0.0901712220518068,186.4
Adapter Ring,108873.91,4,45.18,10896.72,False,True,False,False,0.10008568627690508,180.72
Custom Bracket,21388.83,8,43.15,2160.08,False,True,False,False,0.10099103129998227,345.2
Motor Housing,21877.28,9,14.17,1110.68,False,False,False,False,0.05076865131314314,127.53
CNC Machined Block,148129.54,3,53.32,4449.39,False,False,True,False,0.03003715531689358,159.96
Motor Housing,62397.91,3,32.25,4362.66,False,False,False,True,0.06991676484036083,96.75
Valve Body,61889.9,11,45.78,3119.47,False,False,False,False,0.05040353918813893,503.58000000000004
Motor Housing,123791.94,13,36.52,8674.24,False,False,False,True,0.07007112094696956,474.76000000000005
CNC Machined Block,142614.8,2,59.87,9989.87,False,False,False,True,0.07004791929028405,119.74
Valve Body,148040.15,13,46.38,4464.4,False,False,True,False,0.030156683845564868,602.94
Flange Cover,115472.95,10,43.88,8106.85,False,False,False,True,0.0702056195845001,438.8
Spindle Shaft,62676.34,3,47.82,4382.86,False,False,False,True,0.06992846104287519,143.46
Spindle Shaft,21690.1,3,12.87,635.51,False,False,True,False,0.029299542187449575,38.61
Mounting Base,118800.57,5,16.25,8322.53,False,False,False,True,0.07005463020926583,81.25
Flange Cover,88176.59,5,44.27,6171.9,False,False,False,True,0.06999476845271517,221.35000000000002
Flange Cover,69391.08,2,32.17,4843.57,False,False,False,True,0.06980104647456128,64.34
Motor Housing,136889.61,12,46.5,6876.16,False,False,False,False,0.050231423699724186,558.0
Spindle Shaft,25567.65,10,10.66,1314.39,False,False,False,False,0.051408322626443965,106.6
CNC Machined Block,78967.51,13,34.51,3966.41,False,False,False,False,0.05022837873449473,448.63
Connector Plate,11589.51,6,25.84,358.93,False,False,True,False,0.030970248095044572,155.04
Connector Plate,75612.49,5,30.14,7568.17,False,True,False,False,0.10009153249681368,150.7
Valve Body,17882.46,6,38.22,1257.18,False,False,False,True,0.07030240805795177,229.32
Spindle Shaft,26634.51,1,32.63,1873.05,False,False,False,True,0.07032417716714143,32.63
Spindle Shaft,26453.67,5,34.69,813.71,False,False,True,False,0.03075981517876348,173.45
Connector Plate,100889.44,9,31.75,7071.57,False,False,False,True,0.07009227130213033,285.75
Spindle Shaft,114446.28,12,27.49,5746.76,False,False,False,False,0.050213602399309096,329.88
Motor Housing,91671.63,10,47.45,9200.01,False,True,False,False,0.10035831150815143,474.5
Custom Bracket,144704.16,14,5.67,13058.26,True,False,False,False,0.09024108221905991,79.38
Precision Gear,62481.88,2,37.91,4386.11,False,False,False,True,0.07019811183658366,75.82
Flange Cover,49999.69,1,36.1,2515.66,False,False,False,False,0.05031351194377404,36.1
Mounting Base,131603.88,14,44.39,11885.9,True,False,False,False,0.09031572625366364,621.46
Valve Body,41303.42,10,37.95,4160.63,False,True,False,False,0.10073330489339624,379.5
Custom Bracket,144851.16,13,50.47,13064.05,True,False,False,False,0.09018947449229954,656.11
Connector Plate,11701.63,11,57.75,603.26,False,False,False,False,0.05155350152072831,635.25
Flange Cover,145783.04,9,23.84,13139.51,True,False,False,False,0.09013058034734356,214.56
Spindle Shaft,16042.39,10,17.5,495.93,False,False,True,False,0.03091372295524545,175.0
Mounting Base,134760.04,9,28.3,12126.88,True,False,False,False,0.08998869397782902,254.70000000000002
Spindle Shaft,83878.16,9,20.84,5886.68,False,False,False,True,0.07018132014340801,187.56
CNC Machined Block,149015.07,6,38.82,10446.63,False,False,False,True,0.07010452030120175,232.92000000000002
CNC Machined Block,20331.52,8,55.15,620.07,False,False,True,False,0.03049796572022161,441.2
Mounting Base,87539.6,14,12.65,4403.05,False,False,False,False,0.05029780807771568,177.1
Mounting Base,145702.35,11,10.54,10219.62,False,False,False,True,0.07014039238214072,115.94
Connector Plate,83233.7,13,19.08,8362.94,False,True,False,False,0.100475408398281,248.03999999999996
Mounting Base,98115.81,1,44.94,6866.51,False,False,False,True,0.06998372637396563,44.94
Motor Housing,107404.82,10,37.61,7551.9,False,False,False,True,0.07031248690701217,376.1
Spindle Shaft,73635.75,4,10.62,3662.66,False,False,False,False,0.04974024166250768,42.48
Custom Bracket,97858.13,1,55.53,8822.71,True,False,False,False,0.0901581708131966,55.53
Adapter Ring,91804.0,8,48.45,6455.25,False,False,False,True,0.07031556359200035,387.6
Mounting Base,136162.12,1,6.27,4095.89,False,False,True,False,0.030080979937738925,6.27
Valve Body,16362.49,3,40.83,1458.5,True,False,False,False,0.08913680008360586,122.49
CNC Machined Block,49334.85,13,47.42,4969.67,False,True,False,False,0.10073345718087721,616.46
Motor Housing,143057.61,4,25.59,7160.38,False,False,False,False,0.05005242293646595,102.36
Flange Cover,134636.93,8,8.79,13454.4,False,True,False,False,0.09993097733289076,70.32
Adapter Ring,73791.95,6,9.25,6666.26,True,False,False,False,0.09033858029229476,55.5
Custom Bracket,96818.56,14,10.73,8756.11,True,False,False,False,0.09043834157417752,150.22
Adapter Ring,48833.37,10,51.22,4395.96,True,False,False,False,0.0900195911115698,512.2
Mounting Base,36336.96,12,55.09,3659.45,False,True,False,False,0.1007087549426259,661.08
Connector Plate,74917.78,7,11.75,6770.49,True,False,False,False,0.09037227210950458,82.25
CNC Machined Block,59469.31,14,17.97,5987.23,False,True,False,False,0.1006776436451003,251.57999999999998
CNC Machined Block,91711.86,8,14.1,8278.43,True,False,False,False,0.0902656428514262,112.8
Flange Cover,20882.85,2,15.25,604.01,False,False,True,False,0.02892373406886512,30.5
Connector Plate,146415.27,13,51.06,13210.67,True,False,False,False,0.09022740592562511,663.78
Spindle Shaft,148069.5,10,23.27,14824.77,False,True,False,False,0.10012034889021709,232.7
Precision Gear,107742.64,14,22.13,7579.94,False,False,False,True,0.0703522764988866,309.82
Motor Housing,85053.49,11,17.51,7679.38,True,False,False,False,0.0902888288299516,192.61
CNC Machined Block,53333.87,8,38.43,3749.17,False,False,False,True,0.07029623014418417,307.44
Valve Body,123931.3,3,25.86,3730.35,False,False,True,False,0.03010014419279068,77.58
CNC Machined Block,105862.36,7,45.93,5305.4,False,False,False,False,0.05011601857355154,321.51
Adapter Ring,32766.37,3,16.31,988.75,False,False,True,False,0.030175756423430487,48.92999999999999
CNC Machined Block,137529.81,7,48.33,12386.13,True,False,False,False,0.09006142013865939,338.31
CNC Machined Block,125155.21,14,38.2,8772.81,False,False,False,True,0.07009544388923161,534.8000000000001
Precision Gear,142971.99,11,11.28,10035.72,False,False,False,True,0.07019360925171426,124.08
Precision Gear,111600.73,12,27.8,11176.01,False,True,False,False,0.10014280372538782,333.6
Custom Bracket,95878.13,13,52.49,6735.46,False,False,False,True,0.07025022286104245,682.37
Spindle Shaft,68554.03,2,55.76,6862.27,False,True,False,False,0.10010016916583898,111.52
Valve Body,140581.99,10,30.61,7028.25,False,False,False,False,0.0499939572629467,306.1
CNC Machined Block,131248.94,6,31.45,11805.79,True,False,False,False,0.08994960264060038,188.7
CNC Machined Block,16330.61,3,55.52,1636.06,False,True,False,False,0.10018364286453475,166.56
Motor Housing,13691.38,3,37.29,695.11,False,False,False,False,0.05076990047752674,111.87
Precision Gear,62704.87,9,6.81,4414.78,False,False,False,True,0.07040569576174864,61.29
Valve Body,123477.47,7,55.2,8641.51,False,False,False,True,0.06998450810500086,386.40000000000003
Flange Cover,148218.66,5,18.65,7427.3,False,False,False,False,0.050110424692815334,93.25
Custom Bracket,31058.36,12,36.77,2195.63,False,False,False,True,0.07069368762548957,441.24
Spindle Shaft,93178.3,10,14.1,4670.08,False,False,False,False,0.05011982403628312,141.0
Connector Plate,63324.72,7,6.86,6339.99,False,True,False,False,0.10011872140926956,48.02
Spindle Shaft,145788.02,9,22.13,14604.82,False,True,False,False,0.10017846459537623,199.17
Adapter Ring,127896.65,1,47.93,6399.57,False,False,False,False,0.050037041626969904,47.93
CNC Machined Block,127366.02,7,20.27,12751.11,False,True,False,False,0.1001139079324297,141.89
Custom Bracket,75617.04,6,17.11,7576.14,False,True,False,False,0.10019090935059083,102.66
Adapter Ring,68074.73,10,16.7,6836.75,False,True,False,False,0.1004300714817378,167.0
Valve Body,48276.99,14,33.33,1475.34,False,False,True,False,0.03055990027547285,466.62
Connector Plate,17892.57,12,58.65,1634.87,True,False,False,False,0.09137144636013719,703.8
Precision Gear,131061.13,9,30.24,9203.66,False,False,False,True,0.07022417706912797,272.15999999999997
Custom Bracket,123806.14,1,35.65,3712.87,False,False,True,False,0.029989385017576673,35.65
